Year,County,Waterbody,Town,Month,Number,Species,Size (Inches)
2013,Westchester,Croton River,Cortlandt,April,150,Brown Trout,8.4
2015,Essex,Crab Pond,Schroon,September,500,Brook Trout,4
2012,Sullivan,Sandburg Creek,Fallsburg,May,90,Brown Trout,8.8
2018,Fulton,Upper Conglin Lake,Stratford,October,240,Brook Trout,4.6
2011,Cattaraugus,Allegheny River,Allegany,October,1050,Muskellunge,8
2015,Hamilton,Mud Lake,Arietta,September,2000,Brook Trout,4.4
2012,Chenango,Genegantslet Creek,Smithville,April,30,Brown Trout,13.1
2011,Sullivan,Callicoon Creek East Branch,Delaware,April,760,Brown Trout,8.8
2012,Suffolk,Carlls River,Babylon,November,50,Brown Trout,11.6
2012,Chautauqua,Goose Creek,"N Harmony, Harmony",May,440,Brown Trout,8.6
2018,Otsego,Basswood Pond,Burlington,June,200,Brown Trout,8.2
2014,Suffolk,Lake Ronkonkoma,"Brookhaven, Islip",June,5000,Walleye,1.3
2013,Hamilton,Jockeybush Lake,Arietta,September,500,Brook Trout,3.7
2018,Jefferson,Grass Lake,Theresa,May,960000,Walleye,0.3
2012,Columbia,Kinderhook Lake,Kinderhook,September,1900,Tiger Muskellunge,10.4
2013,Franklin,Little Hope Pond,Franklin,May,150,Brook Trout,8
2012,Essex,Goosepuddle Pond,Moriah,November,500,Brook Trout,4.8
2012,Rensselaer,Tackawasick Creek,Nassau,April,100,Brown Trout,12.4
2013,Herkimer,North Lake,Ohio,September,2200,Tiger Muskellunge,9.6
2015,Ulster,Esopus Creek,Olive,April,1950,Brown Trout,14.3
2015,Herkimer,Razorback Pond,Webb,September,400,Brook Trout,4.2
2016,Hamilton,Mud Lake,Wells,January,1300,Brook Trout,5
2017,Suffolk,Deep Pond,Riverhead,October,400,Brown Trout,12.2
2018,Cayuga,Salmon Creek,Genoa,April,150,Brown Trout,13.1
2017,Schoharie,Holding Pond,Cobleskill,April,160,Brown Trout,8.9
2016,Onondaga,Butternut Creek,NA,April,450,Brown Trout,13
2016,Essex,Johns Brook,Keene,April,160,Brook Trout,8
2015,St Lawrence,Deer Pond,Piercefield,September,800,Brook Trout,4.5
2016,Sullivan,Ten Mile River,Cochecton,April,40,Brown Trout,13.8
2013,Essex,Upper Cascade Lake,Keene,April,500,Brook Trout,8
2011,Cortland,Padget Pond,Preble,October,1500,Rainbow Trout,5.7
2016,Essex,Marion Pond,Schroon,October,400,Brook Trout,4.2
2016,Dutchess,Fishkill Creek,"Beacon, Fishkill",March,1380,Brown Trout,9
2015,Warren,Lake George,Hague,October,10000,Brook Trout,4.3
2017,Steuben,Post Creek,Hornby,April,500,Brown Trout,9.1
2014,Saratoga,Corinth Reservoir Ponds,Corinth,May,300,Brook Trout,9.7
2012,Oswego,North Branch Salmon River,NA,May,2000,Brook Trout,9.6
2015,Ulster,Rondout Creek,Wawarsing,April,1650,Rainbow Trout,9
2012,Madison,Chittenango Creek,Cazenovia,May,1860,Brown Trout,8.4
2014,Herkimer,Beardsley Lake,Manheim,April,3520,Brown Trout,8.8
2016,Cattaraugus,Red House Lake,Red House,May,650,Brown Trout,8.9
2012,Franklin,Green Pond,NA,November,50,Landlocked Salmon,1.7
2017,Hamilton,Pine Mountain Pond,Indian Lake,September,600,Brook Trout,4
2011,Niagara,Lower Niagara River,Lewiston,April,4230,Brown Trout,9.4
2017,Essex,Lower Cascade Lake,Keene,April,600,Brook Trout,7
2013,Essex,Marion Pond,Schroon,September,200,Brook Trout,3.7
2018,Essex,West Branch Ausable River,Jay,May,2130,Brown Trout,8
2017,Hamilton,Morley Lake,Arietta,September,350,Brook Trout,5
2013,Hamilton,Lake Durant,Indian Lake,September,1900,Tiger Muskellunge,10.1
2017,Hamilton,South Pond,Wells,October,400,Brook Trout,5
2015,Washington,Batten Kill,Salem,May,1130,Brown Trout,13.5
2014,Madison,Chittenango Creek,Cazenovia,May,1810,Brown Trout,8.5
2014,Tioga,East Branch Owego Creek,"Berkshire, Richford",May,2110,Brown Trout,10
2015,Rensselaer,Walloomsac River,Hoosick,May,730,Brown Trout,8.1
2014,Essex,SPRUCE MILL BROOK,LEWIS,June,400,Brook Trout,9
2011,Suffolk,Belmont Lake,Babylon,March,170,Brown Trout,8.8
2018,Orange,Rutgers Creek,Greenville,April,350,Brown Trout,9
2011,Suffolk,Nissequogue River,Smithtown,April,170,Brown Trout,8.5
2016,Lewis,Silver Dawn Lake,Diana,January,200,Brook Trout,5
2011,Chautauqua,Conewango Creek,"Kiantone, Carroll, Poland",October,1050,Muskellunge,8
2017,Hamilton,Blue Mountain Lake,Indian Lake,April,1300,Landlocked Salmon,6.7
2016,Allegany,Belmont Rod and Gun Club Pond,West Almond,April,80,Brook Trout,9.2
2017,Herkimer,State Barge Canal,Schuyler,September,1000,Tiger Muskellunge,9.5
2014,Warren,Round Pond,Horicon,May,240,Rainbow Trout,8.4
2018,Niagara,Lower Niagara River,Lewiston,April,37000,Steelhead,4.4
2011,Delaware,Charlotte Creek,Davenport,April,3640,Brown Trout,8.3
2011,Schuyler,Waneta Lake,Tyrone,October,4100,Muskellunge,8
2012,Essex,Dimmick Pond,Minerva,May,150,Brown Trout,13
2015,Essex,Schroon River,Schroon,May,28000,Landlocked Salmon,1
2011,Ulster,Sawkill Creek,Woodstock,April,910,Brown Trout,8.8
2012,Essex,Putnam Creek,Ticonderoga,May,270,Brown Trout,9
2016,Tompkins,"Enfield Ck, T4",Enfield,April,520,Brown Trout,8.9
2016,Essex,Schroon River,Schroon,April,50,Brown Trout,17
2018,Erie,Buffalo River,West Seneca,May,10000,Steelhead,5.6
2017,Cattaraugus,Quaker Lake,Elko,March,3460,Brown Trout,9.2
2018,Cayuga,Owasco Lake,Scipio,May,3820,Brown Trout,9
2011,Franklin,Sunday Pond,Santa Clara,October,300,Brook Trout,5.2
2013,Hamilton,Poor Lake,Morehouse,September,700,Brook Trout,3.7
2012,Dutchess,Wappingers Creek,Stanford,March,80,Brown Trout,13.4
2017,Schuyler,Cayuta Creek,Catherine,May,185,Brown Trout,13.4
2013,Cattaraugus,Lime Lake,Machias,September,800,Tiger Muskellunge,8.9
2017,Essex,East Branch Ausable River,Jay & Keene,April,3000,Rainbow Trout,8
2018,Franklin,Little Clear Pond,Santa Clara,November,2429,Landlocked Salmon,6.9
2017,Rensselaer,Kinderhook Creek,Nassau,April,4370,Brown Trout,7.9
2016,Madison,Chittenango Creek,NA,May,500,Brown Trout,13
2016,Allegany,Allen Lake,NA,October,50,Brown Trout,12.8
2013,Monroe,Lake Ontario,Hamlin,May,9810,Brown Trout,8.2
2014,Chemung,Park Station Pond,Erin,October,10,Brook Trout,15.3
2015,Rockland,Pascack Brook,Orangetown,March,250,Rainbow Trout,8.8
2018,Columbia,Roeliff Jansen Kill,Gallatin,April,2440,Brown Trout,7.9
2011,Essex,Schroon River,Schroon,June,400,Brook Trout,8
2012,Saratoga,Geyser Brook,Saratoga Springs,April,440,Brown Trout,8.1
2012,Chenango,Genegantslet Creek,Smithville,April,170,Brown Trout,13.1
2016,St Lawrence,Hedgehog Pond,Colton,October,300,Brook Trout,4
2014,Onondaga,Limestone Creek,NA,April,450,Brown Trout,12.1
2013,Dutchess,Sawkill,Red Hook,March,250,Brown Trout,8.6
2016,Suffolk,Randall Pond,Brookhaven,March,300,Rainbow Trout,9
2014,Fulton,"Mayfield Creek, T1",Mayfield,June,300,Brown Trout,8.3
2012,Washington,Batten Kill,Greenwich,May,250,Brown Trout,13.7
2013,Sullivan,Beaver Kill,Rockland,June,60,Brown Trout,13.1
2014,Essex,Spruce Mill Brook,Lewis,June,300,Brook Trout,8.6
2018,Hamilton,Cedar River,Indian Lake,May,610,Rainbow Trout,8.5
2013,Warren,West Brook,Lake George,April,500,Brook Trout,10.5
2013,Hamilton,South Branch West Canada Creek,"Hoffmeister,Morehouseville",May,2000,Brook Trout,9.3
2015,Herkimer,First Lake,Webb,September,2800,Tiger Muskellunge,9.3
2014,Delaware,Charlotte Creek,Davenport,April,750,Brown Trout,8.8
2014,Chemung,Eldridge Lake,Elmira,April,790,Rainbow Trout,9
2011,Franklin,Whey Pond,Santa Clara,May,5300,Brook Trout,3
2011,Oneida,Mohawk River East Branch,Ava,April,800,Brown Trout,8.3
2017,Essex,Schroon Lake,Schroon,May,1500,Landlocked Salmon,7
2018,Onondaga,Butternut Creek,NA,May,600,Brown Trout,12.1
2017,Chemung,Wyncoop Creek,Baldwin,April,330,Brown Trout,8.9
2018,Orleans,Lake Ontario,Carlton,May,39624,Lake Trout,7.3
2014,Oswego,Beaverdam Brook,Albion,April,30000,Landlocked Salmon,6.9
2014,Ulster,Rondout Creek,Wawarsing,April,120,Brown Trout,13.7
2013,Chautauqua,Chautauqua Lake,Chautauqua,May,197500,Muskellunge,0.6
2017,Hamilton,Lake Eaton,Long Lake,May,3100,Rainbow Trout,9
2016,Lewis,Oswegatchie River West Branch,Croghan,January,180,Brook Trout,8.5
2017,Lewis,Fish Creek East Branch,Lewis,April,740,Brown Trout,8
2014,Chautauqua,Conewango Creek,"Kiantone, Carroll, Poland",October,1050,Muskellunge,8.4
2015,Franklin,Two Bridge Brook,Franklin,May,390,Brown Trout,7.9
2013,Hamilton,Brown Lake,Arietta,May,350,Brook Trout,3.1
2016,Oneida,Black River,Forestport,January,1010,Brook Trout,8.5
2015,Greene,Schoharie Creek,Lexington,April,2180,Brown Trout,8.1
2015,Franklin,St. Regis River,Dickinson,May,1000,Brown Trout,13.4
2018,Franklin,Fishhole Pond,Franklin,May,250,Brook Trout,8.1
2016,Putnam,Croton River East Branch,Southeast,March,600,Rainbow Trout,9
2015,Franklin,Upper Saint Regis Lake,Brighton,May,400,Landlocked Salmon,7
2015,Onondaga,Nine mile creek,NA,April,500,Brown Trout,8
2012,Westchester,Kensico Reservoir,Harrison,March,8870,Brown Trout,8.8
2014,Essex,Otis Brook,Jay,May,175,Brown Trout,8.3
2017,Otsego,Gilbert Lake,New Lisbon,May,600,Rainbow Trout,9.6
2013,Genesee,Oatka Creek,Le Roy,April,700,Brown Trout,13.2
2015,Delaware,Pepacton Reservoir,Colchester,April,4280,Brown Trout,8.8
2012,Greene,Batavia Kill,Ashland,May,890,Brown Trout,8.8
2011,Onondaga,Pools Brook,NA,May,200,Brook Trout,8.3
2013,Onondaga,Onondaga Creek,NA,March,75,Brown Trout,12.5
2012,Warren,Thirteenth Lake,Johnsburg,April,1000,Rainbow Trout,9.23
2011,Ontario,Canandaigua Lake,Canandaigua (T),April,6750,Brown Trout,8.9
2016,Warren,Racket Pond,Hague,January,200,Brook Trout,5
2016,St Lawrence,Trout Brook,Stockholm,April,1470,Brown Trout,8.1
2015,Oswego,Salmon River,Redfield,April,390,Brook Trout,9.3
2012,Onondaga,Nine Mile Creek,NA,April,600,Brook Trout,8.3
2015,Warren,Lake George,Hague,September,1458,Rainbow Trout,4
2012,St Lawrence,Church Pond,Colton,November,127,Brook Trout,4.3
2016,Oneida,Wood Creek,Rome,January,770,Brown Trout,8
2014,Hamilton,Whitney Lake,Arietta,September,3500,Brook Trout,3.8
2016,Essex,Boreas River,North Hudson,March,150,Rainbow Trout,13
2014,Wayne,Lake Ontario,Williamson,June,4610,Brown Trout,8.6
2015,Monroe,Lake Ontario,Webster,May,7700,Brown Trout,7.9
2013,Essex,East Branch Ausable River,Jay,May,3600,Brown Trout,8
2011,Essex,Rankin Pond,Minerva,October,300,Brook Trout,5.2
2011,Sullivan,Callicoon Creek East Branch,Delaware,May,170,Brown Trout,8.8
2015,Herkimer,North Lake,NA,August,2200,Tiger Muskellunge,7.1
2012,Allegany,Genesee River,Amity,March,750,Brown Trout,13.4
2011,Cattaraugus,Mansfield Creek,Mansfield,March,680,Brown Trout,8.3
2018,Suffolk,Southards Pond,Babylon,November,150,Brown Trout,11.5
2016,Rensselaer,Walloomsac River,Hoosick,May,260,Brown Trout,8.2
2013,Warren,Duck Pond,Horicon,September,300,Brook Trout,3.4
2018,Seneca,Cayuga Lake,NA,October,2500,Lake Sturgeon,5
2014,Clinton,Military Pond,Black Brook,May,559,Brown Trout,8.2
2017,Onondaga,Nine Mile,NA,April,2400,Brown Trout,8
2012,Washington,Owl Kill,White Creek,April,1770,Brown Trout,7.9
2016,Hamilton,Sacandaga Lake,Lake Pleasant,January,1280,Brown Trout,8.5
2013,Oneida,Big Creek,Marshall,May,1000,Brown Trout,8.3
2014,Franklin,Deer Pond,Brighton,May,216,Brown Trout,8.2
2014,Delaware,Delaware River East Branch,Middletown,May,430,Brown Trout,9.1
2017,Madison,Chittenango Creek,Fenner,April,2310,Brown Trout,8
2018,Suffolk,Rattlesnake Creek,Islip,May,170,Rainbow Trout,8.9
2017,Oneida,Fish Creek West Branch,Camden,May,830,Brown Trout,8
2016,Greene,Batavia Kill,Ashland,May,860,Brown Trout,8.9
2012,Cattaraugus,Harwood Lake,NA,October,150,Brown Trout,22.8
2014,Warren,Buttermilk Pond,Horicon,September,600,Brook Trout,3.7
2016,Suffolk,Kahler Pond,Brookhaven,October,300,Brown Trout,11.8
2011,Fulton,Cayadutta Creek,Johnstown,June,470,Brown Trout,8.8
2016,Livingston,Sugar Creek,Ossian,March,1280,Brook Trout,8.4
2018,Suffolk,Laurel Lake,Southold,April,260,Rainbow Trout,9
2017,Wayne,lake Ontario,Sodus Point,May,20000,Rainbow Trout,8.4
2014,Putnam,Shrub Oak Brook,Putnam Valley,April,220,Brown Trout,8.7
2011,Hamilton,Mill Creek,Wells,May,640,Brown Trout,8.3
2018,Cattaraugus,Great Valley Creek,Great Valley,May,1220,Brown Trout,9
2015,Cattaraugus,Maples Club Pond,Otto,April,260,Brook Trout,9.2
2013,Monroe,Genesee River,Rochester,April,12100,Steelhead,5.3
2012,Broome,Nanticoke Creek,Union,April,290,Brown Trout,13
2011,Warren,Mill Pond,Horicon,May,150,Rainbow Trout,9.3
2018,Albany,Thompsons Lake,Berne,May,520,Brown Trout,8.9
2013,Putnam,Croton River East Branch,Patterson,March,1450,Brown Trout,8.2
2017,Ulster,Sawkill Creek,Woodstock,April,130,Brown Trout,13.3
2018,Saratoga,Upper Corinth Reservoir,Corinth,May,300,Brook Trout,8.3
2012,Lewis,Deer River West Branch,Montague,May,380,Brook Trout,9.2
2018,Franklin,Follensby Clear Pond,Santa Clara,May,300,Landlocked Salmon,7.2
2013,Oneida,Black River,Forestport,May,730,Brown Trout,8.2
2014,Erie,Sprague Brook Park A and B Pon,Concord,April,160,Rainbow Trout,9.2
2013,Cattaraugus,Ischua Creek,Franklinville,May,580,Brown Trout,8.9
2015,Delaware,East Sidney Lake,Sidney,June,4000,Walleye,1.5
2011,Broome,Nanticoke Creek,Maine,April,410,Brown Trout,13.1
2015,Orleans,Lake Ontario,Carlton,May,10420,Brown Trout,8.9
2011,Hamilton,Otter Lake,Arietta,September,450,Brook Trout,4.1
2017,Dutchess,Ten Mile River,Amenia,April,100,Brown Trout,13.4
2012,Nassau,Massapequa Creek,Oyster Bay,November,100,Brown Trout,11.6
2018,Saratoga,Sand Creek,Edinburg,May,440,Brown Trout,8
2013,Oswego,Lake Ontario,Oswego,May,81870,Lake Trout,7.2
2011,Westchester,Amawalk Reservoir,Somers,April,1690,Brown Trout,8.8
2018,Allegany,Allen Lake,Allen,April,2800,Brook Trout,8.9
2016,Washington,Batten Kill,Salem,May,4570,Brown Trout,8.2
2015,Warren,Buttermilk Pond,Horicon,September,600,Brook Trout,4.6
2013,Herkimer,West Canada Creek,"Fairfield, Herkimer, Newport",May,4290,Brown Trout,9.1
2017,Fulton,Upper Conglin Lake,Stratford,October,300,Brook Trout,5
2018,Rensselaer,Wynants Kill,N Greenbush,April,700,Brown Trout,7.8
2014,Albany,Vly Creek,New Scotland,April,260,Brown Trout,7.8
2014,Steuben,Post Creek,Hornby,March,200,Brown Trout,13.9
2014,Delaware,Delaware River West Branch,Delhi,May,520,Brown Trout,8.7
2017,Hamilton,Mosquito Pond,Long Lake,September,300,Brook Trout,5
2012,Jefferson,Black Creek,Philadelphia,April,980,Brown Trout,8.1
2017,Warren,Jabe Pond,Hague,April,1000,Rainbow Trout,8.8
2013,Delaware,Delaware River West Branch,Harpersfield,May,360,Brown Trout,9
2013,Sullivan,Neversink Reservoir,NA,June,30000,Landlocked Salmon,2.5
2015,Otsego,Basswood Pond,Burlington,May,130,Brown Trout,13.5
2013,Dutchess,Wappingers Creek,Stanford,March,870,Brown Trout,8.6
2011,Oneida,Oriskany Creek,Kirkland,September,2500,Brown Trout,4.8
2011,Dutchess,Ten Mile River,Dover,April,230,Brown Trout,13.2
2015,Lewis,Rock Pond,Croghan,May,260,Brook Trout,9.1
2014,Essex,Eagle Lake,TICONDEROGA,April,400,Brown Trout,13
2014,Delaware,Delaware River East Branch,Colchester,April,400,Brown Trout,13.3
2017,Essex,Gooseneck Pond,Ticonderoga,May,700,Rainbow Trout,8
2015,Sullivan,Beaver Kill,Rockland,April,680,Brown Trout,8.8
2014,Essex,BOREAS RIVER,NORTH HUDSON,April,500,Brook Trout,7
2012,Suffolk,Nissequogue River,Smithtown,April,300,Rainbow Trout,9.1
2013,Chautauqua,Allegheny Reservoir,NA,July,350,Paddlefish,14
2015,Essex,Crab Pond,Schroon,May,390,Brown Trout,7.9
2015,Hamilton,Pine Mountain Pond,Indian Lake,September,600,Brook Trout,3.75
2012,Washington,Batten Kill,Salem,May,2310,Brown Trout,8.5
2013,Livingston,Sugar Creek,Ossian,September,700,Brown Trout,5.2
2014,Oneida,Sauquoit Creek,New Hartford,May,740,Brown Trout,8.3
2015,Onondaga,Nine mile creek,NA,April,2800,Brown Trout,8.5
2015,Dutchess,Wappingers Creek,Stanford,March,80,Brown Trout,13.1
2017,Herkimer,West Canada Creek,"Fairfield, Newport",May,4370,Brown Trout,8
2012,Franklin,Palmer Pond,Harrietstown,May,1100,Brook Trout,2.7
2012,Onondaga,Nine Mile Creek,NA,April,1100,Brown Trout,8
2016,Hamilton,Big Rock Lake,Morehouse,January,2500,Brook Trout,5
2015,Herkimer,Spruce Creek,Salisbury,April,2570,Brown Trout,7.8
2018,Niagara,Eighteenmile Creek,Newfane,May,3500,Steelhead,4.9
2018,Greene,Batavia Kill,Windham,April,440,Brown Trout,9
2018,Delaware,Delaware River East Branch,Middletown,April,1650,Brown Trout,9
2013,Nassau,Upper Twin Pond,Hempstead,April,100,Brown Trout,13
2015,Hamilton,Buck Pond,Morehouse,September,400,Brook Trout,4.3
2014,Herkimer,Fourth Lake,Webb,May,4300,Landlocked Salmon,7
2018,Franklin,Chateaugay River,Chateaugay,May,430,Rainbow Trout,8.7
2017,Allegany,Hunt Creek,Alma,April,210,Brown Trout,9
2013,Clinton,Little Ausable River,Peru,April,690,Brown Trout,8.3
2014,Niagara,Lower Niagara River,Lewiston,May,4300,Brown Trout,8.6
2014,Washington,Mettawee River,Whitehall,April,3470,Rainbow Trout,8.5
2016,Essex,Ausable River,Jay,May,100,Brown Trout,18
2013,Herkimer,Fourth Lake,Webb,May,4190,Lake Trout,6.9
2012,Steuben,Cohocton River,Cohocton,March,180,Brown Trout,13.4
2015,Ulster,Vernooy Kill,Wawarsing,May,520,Brook Trout,8
2018,Wyoming,Little Tonawanda Creek,Middlebury,March,610,Brown Trout,8.7
2012,Hamilton,Jessup River,Lake Pleasant,May,1060,Brook Trout,9.1
2012,Ulster,Beer Kill West Branch,Wawarsing,April,1150,Brown Trout,8.5
2014,Essex,La Chute,Ticonderoga,May,80,Brown Trout,13.7
2018,Franklin,Chateaugay River,Chateaugay,April,1450,Brook Trout,8.1
2011,Essex,Black River,Westport,April,900,Brook Trout,8
2015,Oneida,Black River,"Boonville, Forestport",April,650,Brown Trout,12.4
2017,Essex,Jackson Pond,Minerva,October,850,Brook Trout,5
2014,Cayuga,Seneca River,NA,September,3500,Tiger Muskellunge,8.5
2018,Suffolk,Belmont Lake,Babylon,April,250,Brown Trout,12.7
2018,Oneida,Black River,Forestport,May,1150,Brook Trout,8.3
2013,Chenango,Genegantslet Creek,Smithville,May,400,Brown Trout,8.9
2018,Herkimer,Fulmer Creek,German Flats,April,300,Brown Trout,7.9
2014,Chautauqua,Chautauqua Lake,Chautauqua,May,132100,Muskellunge,0.6
2018,Dutchess,Fishkill Creek,Beekman,March,3650,Brown Trout,9.2
2016,Onondaga,Limestone Creek,NA,April,450,Brown Trout,13
2015,Madison,Cowaselon Creek,Oneida,April,1110,Brown Trout,7.8
2018,Franklin,Ledge Pond,Santa Clara,May,1200,Brook Trout,2.2
2016,Onondaga,Limestone Creek,NA,April,525,Brown Trout,13
2012,Tompkins,Fall Creek,Groton,March,2660,Brown Trout,9
2016,Otsego,Otego Creek,Hartwick,April,1470,Brown Trout,8
2018,Seneca,Seneca Lake,Fayette,April,24000,Landlocked Salmon,7
2013,Herkimer,State Barge Canal,NA,August,500,Tiger Muskellunge,8.5
2017,Herkimer,Old Forge Pond,Webb,April,700,Rainbow Trout,9
2014,Essex,Roes Pond,MORIAH,July,150,Brown Trout,19
2014,Chautauqua,Cassadaga Creek,"Poland, Ellicot, Gerry",October,500,Muskellunge,8.4
2012,Niagara,Hyde Park Lake,Niagara Falls,April,200,Brown Trout,13.7
2015,Essex,Shaw Pond,Newcomb,September,1000,Brook Trout,4
2013,Oneida,Fish Creek West Branch,Camden,May,950,Brown Trout,8.1
2018,Dutchess,Wappingers Creek,Stanford,April,80,Brown Trout,13.1
2015,Chemung,Chemung River,Elmira,October,770,Muskellunge,8.7
2015,Orange,Moodna Creek,Cornwall,March,2000,Rainbow Trout,8.8
2013,Tioga,East Branch Owego Creek,"Berkshire, Richford",May,1750,Brown Trout,9
2016,Franklin,Black Pond,Santa Clara,May,150,Rainbow Trout,8.6
2018,Essex,Fish & Game Club Pond,Westport,May,200,Rainbow Trout,13
2016,Washington,Fishbrook Pond,Dresden,May,875,Round Whitefish,0.1
2016,Fulton,Third Lake,Stratford,January,3900,Brook Trout,5
2015,Hamilton,Lake Eaton,Long Lake,November,113,Landlocked Salmon,25
2014,Otsego,Otego Creek,Hartwick,May,520,Brown Trout,8.1
2018,Clinton,Great Chazy River,Champlain,October,1150,Muskellunge,8.4
2017,Hamilton,Blue Mountain Lake,NA,May,3248,Brook Trout,2.5
2011,Oswego,Beaverdam Brook,Albion,May,49280,Steelhead,5.4
2018,Cattaraugus,Paisley Park Pond,Randolph,April,50,Brook Trout,9.2
2014,Chautauqua,Chautauqua Lake,"Chautauqua, Ellery",October,240,Muskellunge,8.6
2017,Lewis,Forestry Pond,Lowville,May,250,Brook Trout,9
2014,Franklin,Deer River,Dickinson,May,2660,Brown Trout,8.9
2014,Sullivan,Beaver Brook,Highland,April,50,Brown Trout,13.6
2018,Essex,Willsboro Club Pond 2,Willsboro,April,90,Rainbow Trout,8.9
2017,Franklin,Salmon River,Malone,April,3470,Brown Trout,8.2
2015,Delaware,Launt Pond,Tompkins,May,640,Brook Trout,8
2017,Chautauqua,Bear Lake,Pomfret,June,2315,Walleye,1.5
2018,Fulton,Northville Pond,Northampton,May,1090,Rainbow Trout,8.3
2018,Franklin,Alder Brook,Franklin,April,350,Brook Trout,8.1
2013,Rensselaer,Long Pond,Grafton,April,1450,Brown Trout,8.8
2015,Essex,Fish & Game Club Pond,Westport,May,50,Brown Trout,12
2016,Hamilton,Cedar River,Indian Lake,January,600,Brown Trout,8
2017,Franklin,St. Regis River,Dickinson,May,1600,Rainbow Trout,8.5
2016,Fulton,Mud Lake,Bleecker,January,300,Brook Trout,5
2015,Monroe,Genesee River,NA,October,1000,Lake Sturgeon,0.3
2011,Oswego,Lake Ontario,Oswego (C),May,30480,Brown Trout,7.5
2015,Broome,Nanticoke Creek,Union,March,1450,Brown Trout,8.8
2013,Columbia,Claverack Creek,Claverack,April,200,Brown Trout,13.4
2011,Erie,Sprague Brook Park Veteran's P,Concord,April,100,Brown Trout,14.4
2017,Madison,Oneida Creek,Smithfield,May,180,Brown Trout,8
2011,Westchester,Croton River,Cortlandt,April,170,Brown Trout,8.6
2011,Delaware,Little Pond,Andes,May,200,Rainbow Trout,8.3
2015,Suffolk,Hards Lake,Brookhaven,April,200,Brown Trout,13.1
2015,Nassau,Oyster Bay Mill Pond,Oyster Bay,March,100,Brown Trout,13.5
2011,Orange,Shingle Kill,Deerpark,March,850,Brown Trout,8.3
2012,Madison,Eaton Reservoir,Eaton,April,760000,Walleye,0.4
2014,Essex,Lake Placid Outlet,North Elba,May,605,Brown Trout,8.3
2011,Madison,Payne Brook,Hamilton,May,300,Brown Trout,9.4
2018,Onondaga,Van Buren Pond,NA,March,175,Rainbow Trout,7.4
2017,Herkimer,West Canada Creek,"Fairfield, Herkimer, Newport",May,680,Brown Trout,13.5
2018,Suffolk,Carmans River,Brookhaven,March,150,Brown Trout,12.8
2015,Delaware,Ouleout Creek,Franklin,April,150,Brown Trout,13.1
2015,Orange,Blue Lake,Warwick,May,100,Brown Trout,12.8
2017,Steuben,Bennett Creek,Greenwood,April,740,Brown Trout,8.9
2017,Cattaraugus,Quaker Lake,NA,October,250,Rainbow Trout,14.6
2012,Hamilton,Cedar River,Indian Lake,April,620,Brown Trout,8
2011,Rockland,Ramapo River,Sloatsburg,November,5250,Rainbow Trout,6.3
2014,Suffolk,Connetquot River,Islip,September,450,Brown Trout,11
2013,Hamilton,Sacandaga River,Wells,May,500,Brown Trout,13
2013,Ontario,Canadice Lake,Canadice,April,2100,Lake Trout,8.3
2014,Essex,Schroon River,Schroon,May,20000,Landlocked Salmon,1.1
2011,Oswego,West Branch Fish Creek,Williamstown,April,1350,Brown Trout,7.5
2017,Broome,Chenango Lake,Fenton,March,5100,Rainbow Trout,8.8
2016,Columbia,Roeliff Jansen Kill,Gallatin,May,1470,Brown Trout,8.2
2015,Essex,Coldspring Pond,North Elba,September,150,Brook Trout,4
2014,Essex,Stevens Pond,WILMINGTON,May,400,Brown Trout,13
2015,Essex,West Branch Ausable River,Jay,June,2230,Brown Trout,7.9
2014,Essex,Hudson River,NEWCOMB,April,200,Rainbow Trout,17
2014,Franklin,Horseshoe Pond,Santa Clara,October,4000,Brook Trout,3.9
2011,Jefferson,Millsite Lake,Theresa,May,500,Landlocked Salmon,6
2016,Onondaga,Harbor Brook,NA,April,50,Brown Trout,13
2017,Lewis,Independence River,NA,October,4000,Brook Trout,5.5
2015,Essex,Saranac River,St. Armand,April,1750,Brown Trout,8
2015,Cattaraugus,Little Conewango Creek,Conewango,March,1500,Brown Trout,8.6
2013,Rensselaer,Walloomsac River,Hoosick,May,300,Brown Trout,13
2016,Rensselaer,Poesten Kill,Poestenkill,April,260,Brown Trout,7.9
2015,Saratoga,Kayaderosseras Creek,"Greenfield, Milton",May,400,Brown Trout,13.1
2013,Lewis,Deer Pond (AKA Little Deer Pd),Croghan,May,250,Brook Trout,9.3
2018,Essex,West Branch Ausable River,Wilmington,May,700,Rainbow Trout,13
2011,Oneida,Fish Creek West Branch,Camden,April,850,Brown Trout,8.3
2015,Dutchess,Ten Mile River,Dover,April,1030,Brown Trout,8.3
2011,Essex,Lower Cascade Lake,Keene,July,500,Brook Trout,8
2013,Chemung,Park Station Pond,NA,October,25,Brook Trout,20.7
2018,Delaware,Pepacton Reservoir,Colchester,May,4350,Brown Trout,9.1
2014,Herkimer,West Canada Creek,"Fairfield, Herkimer, Newport",April,5190,Brown Trout,8.1
2016,Allegany,Genesee River,Wellsville,April,1290,Brown Trout,8.5
2017,Onondaga,Pratts Falls,NA,April,50,Brown Trout,12.6
2013,Cortland,Casterline Pond,Homer,April,300,Brown Trout,13.3
2014,Suffolk,Hards Lake,Brookhaven,April,470,Rainbow Trout,8.9
2011,Hamilton,Spruce Lake,Arietta,September,2500,Brook Trout,4.1
2013,Erie,Little Buffalo Ck,"Lancaster, Elma",March,200,Brown Trout,13.5
